Charity,All time funding (990),All time pledged,Website,Passthrough,EIN,Annual Revenue,Tags,2025,,,,,,,2024,,,,,,2023,,,,2022,,2021,,2020,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011
,,,,,,,,Videos,Views,Featured,Pledged,Form 990,P4ALink,Status,Videos,Views,Featured,Pledged,Form 990,Status,Featured,Pledged,Form 990,Status,Pledged,Form 990,Pledged,Form 990,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged,Form 990,Pledged
Libraries without Borders,"$18,631.00","$18,630.48",https://www.librarieswithoutborders.org/,,68-0666319,"$1,670,837",Education; Libraries,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,,,,,,
Denver Public Library Friends Foundation,$0.00,$0.00,https://www.dplfriends.org/,,84-6036979,"$1,680,501",Education; Libraries,,,,,,,,1,64,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Jude Children's Research Hospital,"$19,768.00","$19,718.00",https://www.stjude.org/,,62-0646012,"$1,707,244,071",Cancer; Children; Health; Health care,,,,,,,,1,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,"$19,768.00","$19,718.00",,,,,,,,,,,,
Alliance for Building Communities,$0.00,$0.00,WWW.HOUSING-ABC.ORG,,23-2041406,"$1,818,738",Community services; Housing; Housing & shelter,,,,,,,,1,159,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRI,$0.00,$0.00,https://intelligence.org/,,58-2565917,"$1,906,891",Science & technology,,,,,,,,1,66,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Does,"$32,024.00","$32,023.26",https://lovedoes.org/,,83-0417128,"$1,944,266",Crime & legal-related; Education; Food banks; Human rights,,,,,,,,1,4883,,,,no fund or feat,x,,,feat not fund,"$32,023.26","$32,024.00",,,,,,,,,,,,,,,,,,,,
National Abortion Federation,0,0,https://www.prochoice.org,,88-3509330,"$10,607,954",Abortion; Health care; Healthcare; Human rights,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Shop,$0.00,"$37,297.09",https://youthinstrumentbuilding.org/,,86-2400545,"$102,050",Art; Education,,,,,,,,1,706,x,"$37,297.09",,fund and feat,,,,,,,,,,,,,,,,,,,,,,,,,,
LitShop,0,0,www.litshopstl.org,,83-3522861,"$105,944",Children and youth; Education,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Got This,$0.00,$0.00,,,47-4248078,"$107,215",Youth development,,,,,,,,1,45,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Scouts of the USA,0,0,https://www.girlscouts.org/en/support-us/donate/donate-now.html,,13-1624016,"$115,591,467",Children and youth; Community improvement; Education; Youth development,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow Trust Children's Charity,0,0,https://www.globalgiving.org/donate/4655/rainbow-trust-childrens-charity/,Global Giving,30‑0108263,"$120,852,957","Children and youth; Disability; Healthcare; International, foreign affairs & national security",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Therapies Unite,$0.00,$0.00,https://therapiesunite.com/,,30‑0108263,"$120,852,957","International, foreign affairs & national security",,,,,,,,2,275,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
ReFOCUS Media Labs,$0.00,$0.00,https://refocusmedialabs.org/,MyriadUSA,58-2277856,"$121,394,713","Education; International, foreign affairs & national security; Refugees",,,,,,,,1,456,x,,,feat not fund,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,
Earthjustice,"$174,393.00","$208,899.13",https://earthjustice.org/,,94-1730465,"$125,960,142",Environment; Policy,,,,,,,,1,2787,x,"$37,297.09",,fund and feat,x,"$36,947.82","$36,948.00",fund and feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00","$21,928.00","$21,927.93",,,,,,,,,,
Lava Mae,"$25,000.00","$25,000.00",http://lavamae.org/,,81-0832318,"$127,051",Health care; Homeless services; Human services,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,,,,,,,"$25,000.00","$25,000.00",,,,,,,,
Trees for the Future,"$59,678.00","$59,676.71",https://trees.org/,,52-1644869,"$13,015,821",Environment,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00",,,,,,,,,,,,,,,,,,
Seattle Humane Society,"$17,440.00","$14,701.10",https://www.seattlehumane.org/,,91-0282060,"$13,371,774",Animal-related; Animals,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,"$17,440.00","$14,701.10",,,,,,,,,,,,,,,,
Outright International,$0.00,$0.00,https://www.outrightinternational.org/,,94-3139952,"$13,527,967",Lgbtq+ rights; Unknown,,,,,,,,1,79,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
LOVEPAWS,0,0,https://lovepawspg.org/,,83-3122611,"$136,324",Animal-related; Animals,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Food Programme,"$43,836.00","$43,835.16",http://www1.wfp.org/,,13-3843435,"$137,489,045",Human services; Hunger,,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48",,,,,,,,,"$25,205.00","$25,204.68",,,,
Scarleteen,0,0,https://www.scarleteen.com,UN|HUSHED,82-3184837,"$138,316","Civil rights, social action & advocacy; Education; Lgbtq+",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planet Reimagined,0,0,https://www.planetreimagined.com,,83-1560579,"$14,000",Environment; Environment and conservation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian American Community Fund of Pennsylvania,0,0,https://aacfpennsylvania.org/,,84-3636499,"$14,094,602","Arts and culture; Civil rights and advocacy; Civil rights, social action & advocacy; Community improvement",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bail Project,$0.00,"$37,297.09",WWW.BAILPROJECT.ORG,,81-4985512,"$14,128,946",Crime & legal-related; Human rights; Incarceration,,,,,,,,1,117,,"$37,297.09",,fund not feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Freedom Readers,$0.00,$0.00,https://freedomreaders.org/,,87-3023665,"$14,531,468",Human services,,,,,,,,1,156,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Change Foundation,0,0,https://greater-change.org/,,82-1305625,"$14,818","Housing and shelter; International, foreign affairs & national security",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Constitutional Rights,$0.00,$0.00,https://ccrjustice.org/,,22-6082880,"$14,848,424","Civil rights, social action & advocacy",,,,,,,,1,0,,,,no fund or feat,,,,,,,,,,,,,,,,,,,,,,,,,,
GiveDirectly,"$83,493.00","$118,000.12",https://www.givedirectly.org/,,27-1661997,"$140,343,295",Economic development; Human services; Poverty,,,,,,,,5,293,,"$37,297.09",,fund not feat,,,,no fund or feat,,,"$27,653.45","$27,654.00","$17,440.00","$14,701.10","$18,631.00","$18,630.48","$19,768.00","$19,718.00",,,,,,,,,,,,
Teens4TeensHelp,0,0,http://www.teens4teenshelp.org,,88-3118908,"$145,918",Mental health & crisis intervention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artists Open Studio,$0.00,$0.00,https://www.artistsopenstudioinc.org/,,20-4012059,"$147,188","Art; Arts, culture & humanities",,,,,,,,,,,,,no fund or feat,x,,,feat not fund,,,,,,,,,,,,,,,,,,,,,,
UNHCR,"$502,910.00","$500,121.95",https://www.unhcr.org/en-us/,,52-1662800,"$147,651,730","Human rights; International, foreign affairs & national security; Refugees",,,,,,,,,,,,,no fund or feat,,"$36,947.82","$36,948.00",fund not feat,"$32,023.26","$32,024.00","$27,653.45","$27,654.00","$17,440.00","$14,701.10",,,"$19,768.00","$19,718.00","$25,000.00","$25,000.00","$344,076.00","$344,078.32",,,,,,,,
wellpower,0,0,https://www.wellpower.org/,,74-2499946,"$148,988,522",Disability; Environment and conservation; Mental health; Mental health & crisis intervention,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heifer International,"$87,054.00","$87,003.74",https://web.archive.org/web/20221006153536/https://www.heifer.org/,,35-1019477,"$149,689,145","Economic development; Hunger; International, foreign affairs & national security; Poverty",,,,,,,,,,,,,no fund or feat,,,,no fund or feat,,,,,,,"$18,631.00","$18,630.48","$19,768.00","$19,718.00","$21,928.00","$21,927.93",,,,"$26,727.33","$26,727.00",,,,,
