Year,State,District,Awards,Funding
,,Summary for Alabama by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,DE,0,5,"$1,823,160"
2024,DE,Total,5,"$1,823,160"
2024,,Summary for District Of Columbia by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,DC,98,51,"$30,003,968"
2024,DC,Total,51,"$30,003,968"
2024,,Summary for Florida by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,FL,2,9,"$3,896,671"
2024,FL,3,47,"$27,646,876"
2024,FL,10,11,"$3,284,729"
2024,FL,15,19,"$8,074,796"
2024,FL,19,1,"$404,055"
2024,FL,21,2,"$1,974,661"
2024,FL,23,1,"$438,170"
2024,FL,26,5,"$1,346,627"
2024,FL,27,14,"$5,729,785"
2024,FL,Total,109,"$52,796,370"
2024,,Summary for Georgia by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,GA,2,2,"$606,420"
2024,GA,4,1,"$95,500"
2024,GA,5,195,"$127,512,344"
2024,GA,6,1,"$996,384"
2024,GA,10,59,"$32,153,215"
2024,GA,11,2,"$809,315"
2024,GA,12,2,"$618,488"
2024,GA,Total,262,"$162,791,666"
2024,,Summary for Hawaii by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,HI,1,6,"$2,348,244"
2024,HI,2,1,"$181,875"
2024,HI,Total,7,"$2,530,119"
2024,,Summary for Idaho by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,ID,1,3,"$1,118,712"
2024,ID,2,4,"$809,708"
2024,ID,Total,7,"$1,928,420"
2024,,Summary for Illinois by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,IL,1,70,"$43,735,780"
2024,IL,5,98,"$52,202,447"
2024,IL,6,4,"$3,694,166"
2024,IL,7,56,"$24,499,447"
2024,IL,10,5,"$1,602,566"
2024,IL,13,21,"$8,769,643"
2024,IL,14,1,"$300,000"
2024,IL,17,2,"$506,741"
2024,IL,Total,257,"$135,310,790"
2024,,Summary for Indiana by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,IN,2,19,"$10,149,144"
2024,IN,4,14,"$5,914,414"
2024,IN,6,1,"$983,736"
2024,IN,7,39,"$20,865,163"
2024,IN,9,10,"$2,867,543"
2024,IN,Total,83,"$40,780,000"
2024,,Summary for Iowa by Congressional District,,
2024,,Congressional District,Awards,Funding
2024,IA,1,62,"$24,117,895"
2024,IA,4,13,"$6,108,627"
2024,IA,Total,75,"$30,226,522"
